sentiment 0-negative 1-positive 2-neutral,text,lang,"0,1,2"
2,RT @IndirectaVip: Aún sigo pensando en ti Stan Lee 💔 https://t.co/lFaseRdSGq,es,
2,"RT @AvatarTorna: * No soy profeta, pero creo que los cómics siempre serán valiosos *.

~ Stan Lee ( 1922 - 2018 )",es,
1,Enough said - Stan the man Lee https://t.co/zHTLFsJ2vw,en,
2,"""RIP in Peace Stan Lee"" from @MiddleUrinalPod sound amazing doesn't it? You know you want to click that link...… https://t.co/wCkl8xdxje",en,
2,"RT @SoWizardPodcast: Check out episode 224 of the #podcast as we gather to remember the legendary #StanLee! Subscribe on ITunes, Spotify or…",en,
2,RT @comicsandpanels: Stan Lee and Steve Ditko https://t.co/RsrdKV60tM,en,
2,"RT @mimundoalex: Adios Stan Lee, te inmortalizaste en tus cameos y seras eterno
PD: ahora es personal Thanos &gt;:c https://t.co/NbbqWnVsYK",es,
2,"RT @STAY_mutuals: Gain STAY Mutuals!💕🌻
※ rt and follow everyone who rts ※

rt if you stan:
― Bang Chan
― Woojin
― Lee Know
― Changbin
― Hyu…",en,
1,"#StanLeeForever #Remix #EDM #StanLee #marvelcomics #Dubstep #YouTube 
It's Finally complete.  #DCComics 
This was a… https://t.co/ByEbIUaifq",en,
1,Stan Lee Inspired Us All: Celebrate His 95 Years https://t.co/a11vlKMJdQ  #StanLee,en,
2,Stan Lee ganha mural pintado em sua homenagem em Los Angeles [vídeo] https://t.co/gsq7ftchOp https://t.co/5Rz41gkJKz,pt,
2,7/8 Retomamos como homenaje a #StanLee los cascos de la #NFL que el artista gráfico Justin Kozisek creó uniendo el… https://t.co/e7ThWr8Xa8,es,
2,Now for something breathtaking: A new episode from @DinnerPodcast. You know you want to click that link... #news… https://t.co/KimHWj0Lcs,en,
2,RT @BSpodNetwork: Now for something breathtaking: A new episode from @DinnerPodcast. You know you want to click that link... #news #BSPN ht…,en,
2,Rap De Stan Lee EN ESPAÑOL || Frikirap || CriCri :D https://t.co/nO9fU32F30 via @YouTube For Stan Lee Thanks for the Fun,en,
2,"@ZoomTV @wreckitralph - Stan Lee #RalphWithZoom

Join here now to win!
@immacristy 
@imtophey 
@imbertjr 
@dyajahkim 
@imcarlc",en,
1,RT @fallenkiing: Spiderman fighting Jesus to get Stan Lee back https://t.co/ofF7swrDdY,en,
1,"RT @ChrisEvans: There will never be another Stan Lee. For decades he provided both young and old with adventure, escape, comfort, confidenc…",en,
2,"RT @MistaPerez: #StanLeeForever #Remix #EDM #StanLee #marvelcomics #Dubstep #YouTube 
It's Finally complete.  #DCComics 
This was a labor o…",en,
1,"RT @salcomicbookpro: #StanLee mural just popped up at
49th street and Andrews in South #LosAngeles 
#Excelsior #NuffSaid #Marvel #Comics #B…",en,
1,RT @aar7743: Stan Lee's cameo in #Avengers4 should be him reapearing from the dust. The audience will literally die.,en,
1,"RT @Kellzallday: Yesterday I completed a farewell piece for the legend “Stan Lee!” This piece was very hard to complete, but I manage. Than…",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
2,"my birthday wish list:
carbon monoxide scented candle
mountain dew
applebee’s gift card
stan lee’s [decaying] left… https://t.co/ET6qacrSvn",en,
2,"RT @asikoh009: スタン・リー先生、沢山の夢と希望とヒーローを有り難うございました‼️
きっとこれからも、天国で自分の生んだヒーローたちの活躍を見守ってくれるんじゃないかな？カメオで笑
R.I.P.  …God bless you, Thank you Stan L…",ja,
1,"RT @InfinityWarFans: RIP #StanLee, you'll never be forgotten! https://t.co/yr8h9Q4jTQ",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/qUGo2mePud",en,
2,Kevin Smith Reacts to Bill Maher Taking a Shot at Stan Lee https://t.co/W5s6qxoFpK #SmartNews,en,
2,"Marvel Studios chief Kevin Feige recalled his final meeting with Stan Lee in a tribute
https://t.co/bPFNAPrhEC",en,
2,"RT @comicsandpanels: Stan Lee, Don Heck, and Dick Ayers assembled this panel! https://t.co/2JLJujCtrZ",en,
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/LMMT9HAoj1",en,
1,RT @shawnwarner629: A Stan Lee memorial mural has popped up in South Los Angeles on 49th and St. Andrews. Really awesome work. My respect a…,en,
1,"RT @SurgeOfPower1: RIP Stan Lee and a little about the superheroes his imagination created...the feisty writer, editor and publisher was re…",en,
