,Sentiments,text,lang
0,1,Enough said - Stan the man Lee https://t.co/zHTLFsJ2vw,en
1,2,"""RIP in Peace Stan Lee"" from @MiddleUrinalPod sound amazing doesn't it? You know you want to click that link...… https://t.co/wCkl8xdxje",en
2,1,"#StanLeeForever #Remix #EDM #StanLee #marvelcomics #Dubstep #YouTube 
It's Finally complete.  #DCComics 
This was a… https://t.co/ByEbIUaifq",en
3,1,Stan Lee Inspired Us All: Celebrate His 95 Years https://t.co/a11vlKMJdQ  #StanLee,en
4,2,Now for something breathtaking: A new episode from @DinnerPodcast. You know you want to click that link... #news… https://t.co/KimHWj0Lcs,en
5,2,Rap De Stan Lee EN ESPAÑOL || Frikirap || CriCri :D https://t.co/nO9fU32F30 via @YouTube For Stan Lee Thanks for the Fun,en
6,2,"@ZoomTV @wreckitralph - Stan Lee #RalphWithZoom

Join here now to win!
@immacristy 
@imtophey 
@imbertjr 
@dyajahkim 
@imcarlc",en
7,2,"my birthday wish list:
carbon monoxide scented candle
mountain dew
applebee’s gift card
stan lee’s [decaying] left… https://t.co/ET6qacrSvn",en
8,1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/qUGo2mePud",en
9,2,Kevin Smith Reacts to Bill Maher Taking a Shot at Stan Lee https://t.co/W5s6qxoFpK #SmartNews,en
10,2,"Marvel Studios chief Kevin Feige recalled his final meeting with Stan Lee in a tribute
https://t.co/bPFNAPrhEC",en
11,1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/LMMT9HAoj1",en
12,2,@ShinGokaiRed I love marvel and Stan Lee but I can't but sympathise with Maher there. He may well have a point. Or… https://t.co/oXVt43GS0f,en
13,2,"I liked a @YouTube video https://t.co/dub7PUkDot Stan Lee explains why Spider-Man is just a regular guy, 1977",en
14,1,"Rest in Power, Stan Lee published on Twist &amp; Twain

https://t.co/dtIg9TmSuM https://t.co/6hQy6Ovf2y",en
15,1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/hqgBul3MYW",en
16,1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: ‘Maybe on some lev… https://t.co/LxSDoPxvYJ",en
17,2,"Trend Ranking within 24 hours

No.1 Markelle Fultz
https://t.co/3ALhUvG8zO
No.2 Stan Lee
https://t.co/RAYk9xQn69
No… https://t.co/vJtQjdez8r",en
18,0,"I honestly get Bill Maher's take about dumbing down, but he picked the wrong poster child in attacking #StanLee.… https://t.co/h2QlL7FHi9",en
19,1,"""Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some le… https://t.co/cawHg7YTtI",en
20,1,"10 Things To Know. Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting:… https://t.co/8RwVeGm5h9",en
21,2,"#wip 3 ✒️
Tribute to Stan Lee @therealstanlee 
IRON-MAN Mark I #sketch 

Trying to recreate the comic cover sketch… https://t.co/iB2VGfUbBi",en
22,1,"This impressive #podcast from @MFXPodcast will change your life! Literally not an exaggeration! Listen, why not?… https://t.co/UBw3alNvRW",en
23,1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/28WB7lpOrO",en
24,1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/jX8yri5Cen",en
25,2,"Finished the first Marvel sheet with the devil of Hell’s Kitchen, Matt Murdock, also known as Daredevil! #daredevil… https://t.co/Musz2Udch0",en
26,1,Stan lee has been trending for days now. we stan legends,en
27,1,"This our second hour, we'll be looking at the conclusion of 5 seasons of a #SpiderMan incarnation very close to… https://t.co/fqWeHkoVNs",en
28,0,"Bill Maher’s comments seemed unnecessary to us. Where was this energy when Stan Lee was around?

Video:… https://t.co/ThE15ZfDmD",en
29,1,"Just arrived, Stan’s Soapbox! Now Remembering and celebrating a life with a read of some of his best offerings! God… https://t.co/3wt4859Vxt",en
30,1,this by far is still the best cinematic video in existence and i am eternally grateful to have witnessed it in its… https://t.co/3qkbvPyEm8,en
31,0,also what the hell i didnt ask for this pain,en
32,2,Stan Lee: “he al­ways in­cluded in his var­i­ous char­ac­ters’ di­a­logue a word that wouldn’t be in his read­ers’… https://t.co/fj8YUDzbr0,en
