sentiment 0-negative 1-positive 2-neutral,text,lang
1,Enough said - Stan the man Lee https://t.co/zHTLFsJ2vw,en
2,"""RIP in Peace Stan Lee"" from @MiddleUrinalPod sound amazing doesn't it? You know you want to click that link...… https://t.co/wCkl8xdxje",en
1,"#StanLeeForever #Remix #EDM #StanLee #marvelcomics #Dubstep #YouTube 
It's Finally complete.  #DCComics 
This was a… https://t.co/ByEbIUaifq",en
1,Stan Lee Inspired Us All: Celebrate His 95 Years https://t.co/a11vlKMJdQ  #StanLee,en
2,Now for something breathtaking: A new episode from @DinnerPodcast. You know you want to click that link... #news… https://t.co/KimHWj0Lcs,en
2,Rap De Stan Lee EN ESPAÑOL || Frikirap || CriCri :D https://t.co/nO9fU32F30 via @YouTube For Stan Lee Thanks for the Fun,en
2,"@ZoomTV @wreckitralph - Stan Lee #RalphWithZoom

Join here now to win!
@immacristy 
@imtophey 
@imbertjr 
@dyajahkim 
@imcarlc",en
2,"my birthday wish list:
carbon monoxide scented candle
mountain dew
applebee’s gift card
stan lee’s [decaying] left… https://t.co/ET6qacrSvn",en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/qUGo2mePud",en
2,Kevin Smith Reacts to Bill Maher Taking a Shot at Stan Lee https://t.co/W5s6qxoFpK #SmartNews,en
2,"Marvel Studios chief Kevin Feige recalled his final meeting with Stan Lee in a tribute
https://t.co/bPFNAPrhEC",en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/LMMT9HAoj1",en
2,@ShinGokaiRed I love marvel and Stan Lee but I can't but sympathise with Maher there. He may well have a point. Or… https://t.co/oXVt43GS0f,en
2,"I liked a @YouTube video https://t.co/dub7PUkDot Stan Lee explains why Spider-Man is just a regular guy, 1977",en
1,"Rest in Power, Stan Lee published on Twist &amp; Twain

https://t.co/dtIg9TmSuM https://t.co/6hQy6Ovf2y",en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some lev… https://t.co/hqgBul3MYW",en
1,"Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: ‘Maybe on some lev… https://t.co/LxSDoPxvYJ",en
2,"Trend Ranking within 24 hours

No.1 Markelle Fultz
https://t.co/3ALhUvG8zO
No.2 Stan Lee
https://t.co/RAYk9xQn69
No… https://t.co/vJtQjdez8r",en
0,"I honestly get Bill Maher's take about dumbing down, but he picked the wrong poster child in attacking #StanLee.… https://t.co/h2QlL7FHi9",en
1,"""Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting: 'Maybe on some le… https://t.co/cawHg7YTtI",en
1,"10 Things To Know. Marvel Studios chief Kevin Feige wrote a tribute to Stan Lee, and described their final meeting:… https://t.co/8RwVeGm5h9",en
2,"#wip 3 ✒️
Tribute to Stan Lee @therealstanlee 
IRON-MAN Mark I #sketch 

Trying to recreate the comic cover sketch… https://t.co/iB2VGfUbBi",en
